Frame Time(us);Execution Time(us);Memory(bytes);State Size(bytes);Nodes;Objects
16749;0;25033636;5907;332;1440
16322;0;25033636;5907;332;1440
16904;0;25033636;5907;332;1440
16542;0;25033636;5907;332;1440
16792;0;25033636;5907;332;1440
16621;0;25033636;5907;332;1440
16740;0;25033636;5907;332;1440
16500;0;25033636;5907;332;1440
16773;0;25033636;5907;332;1440
16465;0;25033636;5907;332;1440
16898;0;25033636;5907;332;1440
16547;0;25033636;5907;332;1440
16914;0;25033636;5907;332;1440
16448;0;25033636;5907;332;1440
16848;0;25033636;5907;332;1440
16556;0;25033636;5907;332;1440
16959;0;25033636;5907;332;1440
16293;0;25033636;5907;332;1440
16858;0;25033636;5907;332;1440
16389;0;25034076;5907;332;1440
16954;0;25033844;5907;332;1440
16313;0;25033844;5907;332;1440
16946;0;25035164;5907;332;1440
16910;0;25034852;5907;332;1440
16391;0;25034724;5907;332;1440
16512;0;25034724;5907;332;1440
16877;0;25033844;5907;332;1440
16507;0;25033844;5907;332;1440
16800;0;25031868;5907;332;1440
16684;0;25031428;5907;332;1440
16834;0;25031428;5907;332;1440
16363;0;25031428;5907;332;1440
16710;0;25031428;5907;332;1440
16522;0;25031428;5907;332;1440
16798;0;25031428;5907;332;1440
16643;0;25031428;5907;332;1440
16854;0;25031428;5907;332;1440
16394;0;25031428;5907;332;1440
16830;0;25031428;5907;332;1440
16578;0;25031428;5907;332;1440
16821;0;25031740;5907;332;1440
16511;0;25031740;5907;332;1440
16773;0;25031740;5907;332;1440
16562;0;25031428;5907;332;1440
16782;0;25030988;5907;332;1440
16620;0;25030988;5907;332;1440
16647;0;25030988;5907;332;1440
16623;0;25030548;5907;332;1440
16674;0;25030988;5907;332;1440
16692;0;25030548;5907;332;1440
16664;0;25030548;5907;332;1440
16642;0;25030548;5907;332;1440
16767;0;25030548;5907;332;1440
16548;0;25030988;5907;332;1440
16659;0;25030548;5907;332;1440
16602;60815;27916412;5907;332;1834
77676;0;25033324;5907;332;1440
27484;0;25033636;5907;332;1440
4089;0;25033636;5907;332;1440
7548;0;25033636;5907;332;1440
16582;0;25033636;5907;332;1440
16758;0;25033636;5907;332;1440
16593;0;25033636;5907;332;1440
16725;0;25033636;5907;332;1440
16528;0;25033636;5907;332;1440
16785;0;25033636;5907;332;1440
16639;0;25033636;5907;332;1440
16874;0;25033636;5907;332;1440
16373;0;25033636;5907;332;1440
16812;0;25033636;5907;332;1440
16555;0;25033636;5907;332;1440
16732;0;25033636;5907;332;1440
16618;0;25033636;5907;332;1440
16700;0;25033636;5907;332;1440
16610;0;25033636;5907;332;1440
16915;0;25033636;5907;332;1440
16600;0;25033636;5907;332;1440
16626;0;25033636;5907;332;1440
16423;0;25033636;5907;332;1440
16954;0;25033636;5907;332;1440
16466;0;25034076;5907;332;1440
16827;0;25033844;5907;332;1440
16419;0;25033844;5907;332;1440
16849;0;25035164;5907;332;1440
16561;0;25034852;5907;332;1440
16787;0;25034724;5907;332;1440
16502;0;25034724;5907;332;1440
16877;0;25033844;5907;332;1440
16457;0;25033844;5907;332;1440
16871;0;25031868;5907;332;1440
16492;0;25031428;5907;332;1440
16716;0;25031428;5907;332;1440
16763;0;25031428;5907;332;1440
16503;0;25031428;5907;332;1440
16730;0;25031428;5907;332;1440
16847;0;25031428;5907;332;1440
16395;0;25031428;5907;332;1440
16898;0;25031428;5907;332;1440
16479;0;25031428;5907;332;1440
16955;0;25031428;5907;332;1440
16252;0;25031428;5907;332;1440
16964;0;25031740;5907;332;1440
16522;0;25031740;5907;332;1440
17000;0;25031740;5907;332;1440
16225;0;25031428;5907;332;1440
16937;0;25030988;5907;332;1440
16619;0;25030988;5907;332;1440
16673;0;25030988;5907;332;1440
16553;0;25030548;5907;332;1440
16752;0;25030988;5907;332;1440
16458;0;25030548;5907;332;1440
16903;0;25030548;5907;332;1440
16450;0;25030548;5907;332;1440
16775;0;25030548;5907;332;1440
16809;0;25030988;5907;332;1440
16662;61339;27916412;5907;332;1834
77838;0;25034076;5907;332;1440
27357;0;25033636;5907;332;1440
4156;0;25033636;5907;332;1440
7024;0;25033636;5907;332;1440
16908;0;25033636;5907;332;1440
16557;0;25033636;5907;332;1440
16712;0;25033636;5907;332;1440
16637;0;25033636;5907;332;1440
16821;0;25033636;5907;332;1440
16338;0;25033636;5907;332;1440
16831;0;25033636;5907;332;1440
16773;0;25033636;5907;332;1440
16586;0;25033636;5907;332;1440
16625;0;25033636;5907;332;1440
16808;0;25033636;5907;332;1440
16570;0;25033636;5907;332;1440
16824;0;25033636;5907;332;1440
16371;0;25033636;5907;332;1440
16792;0;25033636;5907;332;1440
16630;0;25033636;5907;332;1440
16735;0;25033636;5907;332;1440
16579;0;25033636;5907;332;1440
16734;0;25033636;5907;332;1440
16524;0;25034076;5907;332;1440
16876;0;25033844;5907;332;1440
16613;0;25033844;5907;332;1440
16700;0;25035164;5907;332;1440
16464;0;25034852;5907;332;1440
17037;0;25034724;5907;332;1440
16286;0;25034724;5907;332;1440
16892;0;25033844;5907;332;1440
16548;0;25033844;5907;332;1440
16788;0;25031868;5907;332;1440
16353;0;25031428;5907;332;1440
16860;0;25031428;5907;332;1440
16897;0;25031428;5907;332;1440
16503;0;25031428;5907;332;1440
16657;0;25031428;5907;332;1440
16716;0;25031428;5907;332;1440
16552;0;25031428;5907;332;1440
16756;0;25031428;5907;332;1440
16413;0;25047812;5907;332;1440
17059;0;25047812;5907;332;1440
16325;0;25047812;5907;332;1440
16906;0;25048124;5907;332;1440
16618;0;25048124;5907;332;1440
16864;0;25048124;5907;332;1440
16551;0;25047812;5907;332;1440
16758;0;25047372;5907;332;1440
16872;0;25047372;5907;332;1440
16397;0;25046932;5907;332;1440
16414;0;25047372;5907;332;1440
16953;0;25046932;5907;332;1440
16496;0;25046932;5907;332;1440
16788;0;25046932;5907;332;1440
16575;0;25046932;5907;332;1440
16738;0;25047372;5907;332;1440
16569;0;25046932;5907;332;1440
16876;0;25046932;5907;332;1440
16393;61489;27932796;5907;332;1834
78436;0;25049708;5907;332;1440
26725;0;25050020;5907;332;1440
4266;0;25050020;5907;332;1440
7342;0;25050020;5907;332;1440
16517;0;25050020;5907;332;1440
16825;0;25050020;5907;332;1440
16562;0;25050020;5907;332;1440
16900;0;25050020;5907;332;1440
16439;0;25050020;5907;332;1440
16828;0;25050020;5907;332;1440
16715;0;25050020;5907;332;1440
16587;0;25050020;5907;332;1440
16461;0;25050020;5907;332;1440
16958;0;25050020;5907;332;1440
16712;0;25050020;5907;332;1440
16623;0;25050020;5907;332;1440
16489;0;25050020;5907;332;1440
16805;0;25050020;5907;332;1440
16537;0;25050020;5907;332;1440
17055;0;25050020;5907;332;1440
16129;0;25050020;5907;332;1440
16854;0;25050020;5907;332;1440
16847;0;25050020;5907;332;1440
16422;0;25050460;5907;332;1440
16428;0;25050228;5907;332;1440
17018;0;25050228;5907;332;1440
16465;0;25051548;5907;332;1440
16779;0;25051236;5907;332;1440
16462;0;25051108;5907;332;1440
16963;0;25051108;5907;332;1440
16444;0;25050228;5907;332;1440
16855;0;25050228;5907;332;1440
16356;0;25048252;5907;332;1440
16997;0;25047812;5907;332;1440
16594;0;25047812;5907;332;1440
16745;0;25047812;5907;332;1440
16523;0;25047812;5907;332;1440
16843;0;25047812;5907;332;1440
16343;0;25047812;5907;332;1440
16898;0;25047812;5907;332;1440
16571;0;25047812;5907;332;1440
16783;0;25047812;5907;332;1440
16529;0;25047812;5907;332;1440
16820;0;25047812;5907;332;1440
16414;0;25048124;5907;332;1440
16731;0;25048124;5907;332;1440
16978;0;25048124;5907;332;1440
16822;0;25047812;5907;332;1440
16089;0;25047372;5907;332;1440
16784;0;25047372;5907;332;1440
16667;0;25047372;5907;332;1440
16991;0;25046932;5907;332;1440
16248;0;25047372;5907;332;1440
16874;0;25046932;5907;332;1440
16596;0;25046932;5907;332;1440
16840;0;25046932;5907;332;1440
16341;0;25046932;5907;332;1440
16971;0;25047372;5907;332;1440
16476;0;25046932;5907;332;1440
16830;60970;27932796;5907;332;1834
77472;0;25049708;5907;332;1440
26072;0;25050020;5907;332;1440
4073;0;25050020;5907;332;1440
8750;0;25050020;5907;332;1440
16966;0;25050020;5907;332;1440
16482;0;25050020;5907;332;1440
16836;0;25050020;5907;332;1440
16805;0;25050020;5907;332;1440
16494;0;25050020;5907;332;1440
16508;0;25050020;5907;332;1440
16666;0;25050020;5907;332;1440
16717;0;25050020;5907;332;1440
16695;0;25050020;5907;332;1440
16531;0;25050020;5907;332;1440
16880;0;25050020;5907;332;1440
16562;0;25050020;5907;332;1440
16751;0;25050020;5907;332;1440
16417;0;25050020;5907;332;1440
17021;0;25050020;5907;332;1440
16654;0;25050020;5907;332;1440
16570;0;25050020;5907;332;1440
16602;0;25050020;5907;332;1440
16802;0;25050020;5907;332;1440
16327;0;25050020;5907;332;1440
16960;0;25050460;5907;332;1440
16538;0;25050228;5907;332;1440
17117;0;25050228;5907;332;1440
16071;0;25051548;5907;332;1440
16828;0;25051236;5907;332;1440
16670;0;25051108;5907;332;1440
16750;0;25051108;5907;332;1440
16528;0;25050228;5907;332;1440
17042;0;25050228;5907;332;1440
16435;0;25048252;5907;332;1440
16629;0;25047812;5907;332;1440
16467;0;25047812;5907;332;1440
16901;0;25047812;5907;332;1440
16539;0;25047812;5907;332;1440
16761;0;25047812;5907;332;1440
16683;0;25047812;5907;332;1440
16816;0;25047812;5907;332;1440
16294;0;25047812;5907;332;1440
16911;0;25047812;5907;332;1440
16693;0;25047812;5907;332;1440
16877;0;25047812;5907;332;1440
16370;0;25048124;5907;332;1440
16745;0;25048124;5907;332;1440
16542;0;25048124;5907;332;1440
16798;0;25047812;5907;332;1440
16615;0;25047372;5907;332;1440
16615;0;25047372;5907;332;1440
16775;0;25047372;5907;332;1440
16870;0;25046932;5907;332;1440
16279;0;25047372;5907;332;1440
16874;0;25046932;5907;332;1440
16475;0;25046932;5907;332;1440
16911;0;25046932;5907;332;1440
16373;0;25046932;5907;332;1440
16971;0;25047372;5907;332;1440
16410;59036;27932796;5907;332;1834
75840;0;25050460;5907;332;1440
26790;0;25050020;5907;332;1440
4598;0;25050020;5907;332;1440
9547;0;25050020;5907;332;1440
16588;0;25050020;5907;332;1440
16891;0;25050020;5907;332;1440
16698;0;25050020;5907;332;1440
16492;0;25050020;5907;332;1440
16388;0;25050020;5907;332;1440
16952;0;25050020;5907;332;1440
16554;0;25050020;5907;332;1440
16740;0;25050020;5907;332;1440
16488;0;25050020;5907;332;1440
17094;0;25050020;5907;332;1440
16381;0;25050020;5907;332;1440
16902;0;25050020;5907;332;1440
16418;0;25050020;5907;332;1440
16757;0;25050020;5907;332;1440
16829;0;25050020;5907;332;1440
16472;0;25050020;5907;332;1440
16554;0;25050020;5907;332;1440
16714;0;25050020;5907;332;1440
16582;0;25050020;5907;332;1440
16838;0;25050460;5907;332;1440
16497;0;25050228;5907;332;1440
16864;0;25050228;5907;332;1440
16363;0;25051548;5907;332;1440
17007;0;25051236;5907;332;1440
16420;0;25051108;5907;332;1440
16831;0;25051108;5907;332;1440
16744;0;25050228;5907;332;1440
16615;0;25050228;5907;332;1440
16407;0;25048252;5907;332;1440
16953;0;25047812;5907;332;1440
16535;0;25047812;5907;332;1440
16721;0;25047812;5907;332;1440
17180;0;25047812;5907;332;1440
16289;0;25047812;5907;332;1440
16491;0;25047812;5907;332;1440
16721;0;25047812;5907;332;1440
16671;0;25047812;5907;332;1440
16667;0;25047812;5907;332;1440
16365;0;25047812;5907;332;1440
16990;0;25048124;5907;332;1440
16567;0;25048124;5907;332;1440
16748;0;25048124;5907;332;1440
16580;0;25047812;5907;332;1440
16804;0;25047372;5907;332;1440
16458;0;25047372;5907;332;1440
16913;0;25047372;5907;332;1440
16318;0;25046932;5907;332;1440
16828;0;25047372;5907;332;1440
16663;0;25046932;5907;332;1440
16733;0;25046932;5907;332;1440
16485;0;25046932;5907;332;1440
17115;0;25046932;5907;332;1440
16194;0;25047372;5907;332;1440
16916;0;25046932;5907;332;1440
16440;0;25046932;5907;332;1440
16854;59486;27932796;5907;332;1834
75893;0;25049708;5907;332;1440
24890;0;25050020;5907;332;1440
4514;0;25050020;5907;332;1440
11248;0;25050020;5907;332;1440
16811;0;25050020;5907;332;1440
16455;0;25050020;5907;332;1440
16866;0;25050020;5907;332;1440
16595;0;25050020;5907;332;1440
16697;0;25050020;5907;332;1440
16458;0;25050020;5907;332;1440
16854;0;25050020;5907;332;1440
16488;0;25050020;5907;332;1440
16931;0;25050020;5907;332;1440
16524;0;25050020;5907;332;1440
16753;0;25050020;5907;332;1440
16512;0;25050020;5907;332;1440
17020;0;25050020;5907;332;1440
16430;0;25050020;5907;332;1440
16785;0;25050020;5907;332;1440
16401;0;25050020;5907;332;1440
16903;0;25050020;5907;332;1440
16437;0;25050020;5907;332;1440
17064;0;25050020;5907;332;1440
16323;0;25050020;5907;332;1440
16848;0;25050460;5907;332;1440
16402;0;25050228;5907;332;1440
16842;0;25050228;5907;332;1440
16602;0;25051548;5907;332;1440
16803;0;25051236;5907;332;1440
16482;0;25051108;5907;332;1440
16827;0;25051108;5907;332;1440
16654;0;25050228;5907;332;1440
16633;0;25050228;5907;332;1440
16474;0;25048252;5907;332;1440
16936;0;25047812;5907;332;1440
16469;0;25047812;5907;332;1440
16757;0;25047812;5907;332;1440
16604;0;25047812;5907;332;1440
16752;0;25047812;5907;332;1440
16553;0;25047812;5907;332;1440
16886;0;25047812;5907;332;1440
16488;0;25047812;5907;332;1440
16762;0;25047812;5907;332;1440
16544;0;25047812;5907;332;1440
16859;0;25047812;5907;332;1440
16509;0;25048124;5907;332;1440
17017;0;25048124;5907;332;1440
16296;0;25048124;5907;332;1440
16830;0;25047812;5907;332;1440
16433;0;25047372;5907;332;1440
16869;0;25047372;5907;332;1440
16537;0;25047372;5907;332;1440
16809;0;25046932;5907;332;1440
16538;0;25047372;5907;332;1440
16788;0;25046932;5907;332;1440
16563;0;25046932;5907;332;1440
16713;0;25046932;5907;332;1440
16438;0;25046932;5907;332;1440
16867;0;25047372;5907;332;1440
