Frame Time(us);Execution Time(us);Memory(bytes);State Size(bytes);Nodes;Objects
6948;0;23455283;313;333;1413
6932;0;23458307;313;333;1413
6931;0;23458891;313;333;1413
7125;0;23459475;313;333;1413
8179;0;23462499;313;333;1413
5508;0;23463083;313;333;1413
6987;0;23466107;313;333;1413
7401;0;23466691;313;333;1413
6507;0;23467275;313;333;1413
6920;0;23470299;313;333;1413
6941;0;23470883;313;333;1413
6964;0;23476787;313;333;1413
6899;0;23477371;313;333;1413
7042;0;23480395;313;333;1413
7035;0;23480979;313;333;1413
6769;0;23481563;313;333;1413
6900;0;23484587;313;333;1413
7416;0;23485171;313;333;1413
6567;0;23488195;313;333;1413
6885;0;23488779;313;333;1413
6927;0;23489363;313;333;1413
6934;0;23492387;313;333;1413
6975;0;23492971;313;333;1413
6938;0;23495995;313;333;1413
6953;0;23496579;313;333;1413
6949;0;23499603;313;333;1413
7003;0;23500187;313;333;1413
7142;0;23500771;313;333;1413
6654;0;23503795;313;333;1413
6959;0;23504379;313;333;1413
6939;0;23507403;313;333;1413
7003;0;23507987;313;333;1413
6920;0;23508571;313;333;1413
6899;0;23511595;313;333;1413
7023;0;23512179;313;333;1413
6898;0;23518083;313;333;1413
7005;0;23518667;313;333;1413
7281;0;23521691;313;333;1413
6499;0;23522275;313;333;1413
7002;0;23522859;313;333;1413
6895;0;23525883;313;333;1413
7066;0;23526467;313;333;1413
7000;0;23529491;313;333;1413
6830;1512;23591179;313;333;1413
8499;0;23591763;313;333;1413
5370;0;23594787;313;333;1413
6904;0;23595371;313;333;1413
7240;0;23598395;313;333;1413
6714;0;23598979;313;333;1413
6896;0;23602003;313;333;1413
6971;0;23602587;313;333;1413
6912;0;23603171;313;333;1413
6947;0;23606195;313;333;1413
6985;0;23606779;313;333;1413
7016;0;23609803;313;333;1413
6863;0;23610387;313;333;1413
6940;0;23610971;313;333;1413
6921;0;23613995;313;333;1413
6969;0;23614579;313;333;1413
6914;0;23620483;313;333;1413
6965;0;23621067;313;333;1413
6994;0;23624091;313;333;1413
6869;0;23624675;313;333;1413
7002;0;23625259;313;333;1413
6959;0;23628283;313;333;1413
6886;0;23628867;313;333;1413
7042;0;23631891;313;333;1413
6886;0;23632475;313;333;1413
6959;0;23633059;313;333;1413
6973;0;23636083;313;333;1413
6929;0;23636667;313;333;1413
6935;0;23639691;313;333;1413
6941;0;23640275;313;333;1413
6936;0;23643299;313;333;1413
7156;0;23643883;313;333;1413
6753;0;23644467;313;333;1413
6871;0;23647491;313;333;1413
7221;0;23648075;313;333;1413
6685;0;23651099;313;333;1413
7066;0;23651683;313;333;1413
6808;0;23652267;313;333;1413
6943;0;23655291;313;333;1413
6994;0;23655875;313;333;1413
6978;0;23661779;313;333;1413
7127;0;23662363;313;333;1413
6643;0;23665387;313;333;1413
6995;0;23665971;313;333;1413
7107;0;23666555;313;333;1413
6711;0;23669579;313;333;1413
8757;0;23670163;313;333;1413
7335;0;23673187;313;333;1413
8554;0;23673771;313;333;1413
6828;0;23676795;313;333;1413
3318;0;23677379;313;333;1413
7624;0;23677963;313;333;1413
6324;0;23680987;313;333;1413
6920;0;23681571;313;333;1413
7204;0;23684595;313;333;1413
6747;0;23685179;313;333;1413
6930;0;23685763;313;333;1413
6906;0;23688787;313;333;1413
6952;0;23689371;313;333;1413
6948;0;23692395;313;333;1413
7005;1298;23754083;313;333;1413
9338;0;23757107;313;333;1413
4397;0;23757691;313;333;1413
7005;0;23758275;313;333;1413
6897;0;23764179;313;333;1413
7037;0;23764763;313;333;1413
6940;0;23767787;313;333;1413
6882;0;23768371;313;333;1413
6988;0;23768955;313;333;1413
6924;0;23771979;313;333;1413
6941;0;23772563;313;333;1413
